Time,Heart Rate
00:00:13,69
00:00:18,71
00:00:23,70
00:00:28,68
00:00:33,68
00:00:48,68
00:00:53,69
00:01:08,69
00:01:23,69
00:01:28,69
00:01:33,69
00:01:48,70
00:01:58,71
00:02:03,72
00:02:13,71
00:02:18,64
00:02:23,63
00:02:28,65
00:02:33,65
00:02:38,73
00:02:44,72
00:02:54,71
00:02:59,69
00:03:04,68
00:03:09,69
00:03:14,71
00:03:19,72
00:03:34,74
00:03:39,71
00:03:44,72
00:03:49,73
00:03:54,71
00:03:59,70
00:04:04,69
00:04:09,76
00:04:14,72
00:04:19,71
00:04:29,71
00:04:34,75
00:04:39,74
00:04:49,75
00:05:04,75
00:05:19,72
00:05:24,67
00:05:34,66
00:05:39,67
00:05:44,65
00:05:51,65
00:05:56,67
00:06:01,67
00:06:16,66
00:06:21,68
00:06:26,77
00:06:31,73
00:06:36,73
00:06:41,70
00:06:46,69
00:06:56,67
00:07:01,67
00:07:16,67
00:07:31,67
00:07:36,68
00:07:51,68
00:07:56,68
00:08:01,69
00:08:16,67
00:08:21,67
00:08:26,68
00:08:31,71
00:08:36,72
00:08:41,71
00:08:51,69
00:08:56,68
00:09:03,68
00:09:08,67
00:09:13,67
00:09:28,67
00:09:43,67
00:09:58,68
00:10:03,69
00:10:08,69
00:10:18,73
00:10:28,73
00:10:33,74
00:10:38,72
00:10:43,70
00:10:48,68
00:10:53,70
00:10:58,73
00:11:03,75
00:11:08,76
00:11:13,74
00:11:18,71
00:11:23,68
00:11:28,70
00:11:43,70
00:11:58,70
00:12:13,71
00:12:28,71
00:12:43,70
00:12:45,70
00:13:00,70
00:13:15,70
00:13:20,71
00:13:35,71
00:13:50,71
00:14:05,71
00:14:10,70
00:14:15,68
00:14:20,71
00:14:25,69
00:14:30,70
00:14:35,69
00:14:40,70
00:14:50,69
00:15:05,70
00:15:20,70
00:15:25,70
00:15:40,70
00:15:55,71
00:16:10,71
00:16:20,70
00:16:25,71
00:16:35,71
00:16:50,71
00:16:55,71
00:17:10,71
00:17:12,71
00:17:17,71
00:17:32,70
00:17:42,71
00:17:57,71
00:18:12,71
00:18:27,71
00:18:42,71
00:18:57,71
00:19:12,71
00:19:27,71
00:19:37,73
00:19:42,74
00:19:57,74
00:20:07,75
00:20:22,75
00:20:37,75
00:20:52,75
00:20:57,77
00:21:02,78
00:21:07,78
00:21:22,78
00:21:27,79
00:21:37,79
00:21:52,79
00:22:07,80
00:22:12,83
00:22:20,84
00:22:25,88
00:22:30,86
00:22:35,83
00:22:40,84
00:22:50,85
00:22:55,86
00:23:00,85
00:23:10,84
00:23:20,88
00:23:25,91
00:23:35,90
00:23:50,90
00:23:55,89
00:24:00,87
00:24:05,85
00:24:15,87
00:24:20,88
00:24:25,95
00:24:40,99
00:24:45,100
00:24:50,103
00:25:05,103
00:25:20,103
00:25:25,103
00:25:35,102
00:25:40,101
00:25:47,101
00:26:02,101
00:26:12,101
00:26:27,101
00:26:32,101
00:26:47,101
00:26:52,99
00:27:07,98
00:27:17,97
00:27:22,98
00:27:27,97
00:27:37,96
00:27:42,95
00:27:47,94
00:28:02,94
00:28:12,91
00:28:17,88
00:28:22,86
00:28:37,86
00:28:42,88
00:28:57,88
00:29:07,86
00:29:12,86
00:29:27,86
00:29:32,85
00:29:47,84
00:29:54,68
00:29:59,66
00:30:09,65
00:30:24,65
00:30:29,66
00:30:39,63
00:30:44,63
00:30:54,61
00:30:59,62
00:31:04,63
00:31:09,64
00:31:19,62
00:31:29,63
00:31:39,58
00:31:49,62
00:31:59,61
00:32:04,61
00:32:14,64
00:32:19,65
00:32:29,65
00:32:34,64
00:32:39,66
00:32:44,62
00:32:49,61
00:32:54,62
00:33:04,67
00:33:09,65
00:33:16,63
00:33:26,65
00:33:31,63
00:33:36,66
00:33:41,65
00:33:46,67
00:33:51,68
00:33:56,66
00:34:01,66
00:34:06,69
00:34:11,67
00:34:16,69
00:34:26,68
00:34:31,67
00:34:41,69
00:34:46,66
